Symbol, Underlying Index, Nearest Strike Price, Calls LTP Value, Put LTP Value, Sum of Call and Put LTP, % of Strike Price
GRASIM,746.3,740.0,27.0,15.8,42.8,5.7837834
HAVELLS,647.7,650.0,20.0,18.6,38.6,5.9384613
HCLTECH,581.75,580.0,19.3,14.9,34.199997,5.896551
HDFC,2405.7,2400.0,63.25,43.05,106.3,4.429167
HDFCBANK,1266.4,1260.0,30.9,21.65,52.55,4.1706347
HEROMOTOCO,2375.1,2400.0,58.3,70.0,128.3,5.3458333
HINDALCO,212.15,210.0,8.75,5.3,14.05,6.690476
HINDPETRO,246.4,245.0,11.3,9.15,20.45,8.346939
HINDUNILVR,1924.2,1920.0,50.25,35.8,86.05,4.481771
IBULHSGFIN,314.8,310.0,22.45,19.95,42.4,13.67742
ICICIBANK,532.8,535.0,14.0,13.55,27.55,5.1495323
ICICIPRULI,481.75,480.0,16.0,13.3,29.3,6.1041665
IDEA,6.15,6.0,0.7,0.55,1.25,20.833332
IDFCFIRSTB,44.1,44.0,1.8,1.25,3.05,6.9318185
IGL,416.85,415.0,12.5,10.55,23.05,5.554217
INDIGO,1343.1,1340.0,60.5,52.7,113.2,8.447762
INDUSINDBK,1491.6,1500.0,53.65,53.95,107.600006,7.173334
INFRATEL,240.8,240.0,10.65,11.45,22.099998,9.208333
INFY,738.45,740.0,23.3,22.0,45.3,6.1216216
IOC,126.35,127.5,3.0,6.35,9.35,7.333334
ITC,237.6,237.5,5.6,4.95,10.549999,4.4421053
JINDALSTEL,170.25,170.0,9.05,8.0,17.05,10.029411
JSWSTEEL,268.0,270.0,9.9,10.5,20.4,7.5555553
JUBLFOOD,1694.2,1700.0,46.8,56.0,102.8,6.047059
JUSTDIAL,558.35,560.0,21.7,22.6,44.300003,7.910715
KOTAKBANK,1659.65,1660.0,44.75,41.2,85.95,5.1777105
LICHSGFIN,423.9,420.0,18.5,13.4,31.9,7.595238
LT,1332.8,1340.0,32.0,33.5,65.5,4.8880596
LUPIN,764.4,760.0,24.05,16.65,40.699997,5.3552628
MANAPPURAM,173.8,175.0,6.25,6.1,12.35,7.057143
MARICO,332.3,330.0,10.5,6.4,16.9,5.121212
MARUTI,7125.2,7100.0,205.05,153.0,358.05,5.0429573
MCDOWELL-N,567.6,570.0,16.35,17.15,33.5,5.877193
MFSL,561.0,560.0,23.2,18.15,41.35,7.3839283
MINDTREE,832.45,830.0,31.35,33.0,64.35,7.7530117
MOTHERSUMI,144.6,145.0,5.9,5.25,11.15,7.689655
MUTHOOTFIN,750.75,750.0,25.05,18.6,43.65,5.82
NATIONALUM,44.55,45.0,1.45,1.7,3.15,7.0
NBCC,34.95,35.0,1.75,1.6,3.35,9.571428
NCC,56.25,56.0,3.05,2.55,5.6,10.0
NIFTY,12118.45,12100.0,67.5,39.25,106.75,0.8822315
NIITTECH,1656.4,1660.0,32.8,44.0,76.8,4.6265063
NMDC,127.55,127.5,4.25,5.35,9.6,7.5294123
NTPC,120.75,121.0,2.4,3.4,5.8,4.793389
ONGC,126.9,127.5,3.85,5.1,8.95,7.0196075
PEL,1497.0,1500.0,60.5,74.15,134.65,8.976666
PETRONET,271.05,270.0,8.0,5.8,13.8,5.111111
PFC,115.15,115.0,4.15,3.85,8.0,6.9565215
PIDILITIND,1411.9,1420.0,33.0,35.3,68.3,4.8098593
PNB,62.1,62.0,2.75,2.4,5.15,8.306452
POWERGRID,193.25,192.5,5.1,4.0,9.1,4.727273
PVR,1875.0,1850.0,78.65,47.0,125.65,6.791892
RBLBANK,348.9,340.0,21.9,13.4,35.3,10.382353
RECLTD,141.35,142.5,4.55,4.65,9.200001,6.456141
RELIANCE,1527.3,1520.0,47.2,32.2,79.4,5.2236843
SAIL,45.65,46.0,1.8,2.0,3.8,8.260869
SBIN,322.85,325.0,10.85,11.2,22.05,6.784615
SIEMENS,1486.15,1480.0,43.1,32.0,75.1,5.074324
SRF,3421.2,3400.0,112.0,73.45,185.45,5.4544115
SRTRANSFIN,1136.15,1140.0,39.0,40.5,79.5,6.973685
SUNPHARMA,441.4,440.0,15.55,13.55,29.1,6.613637
SUNTV,431.85,430.0,17.55,14.85,32.4,7.534884
TATACHEM,667.1,670.0,17.8,14.0,31.8,4.7462687
TATAGLOBAL,315.55,315.0,10.85,8.3,19.150002,6.0793657
TATAMOTORS,187.0,185.0,9.5,6.7,16.2,8.756758
TATAPOWER,57.15,57.0,2.3,1.8,4.1,7.192982
TATASTEEL,482.4,480.0,18.6,14.55,33.15,6.90625
TCS,2211.75,2220.0,63.6,68.85,132.45,5.966216
TECHM,771.65,770.0,20.75,15.7,36.45,4.733766
TITAN,1158.2,1160.0,33.8,29.65,63.449997,5.469827
TVSMOTOR,443.55,440.0,14.55,15.9,30.45,6.9204545
UBL,1275.6,1280.0,30.5,33.5,64.0,5.0
UJJIVAN,335.95,340.0,13.0,12.8,25.8,7.5882354
ULTRACEMCO,4201.0,4200.0,122.0,100.0,222.0,5.285714
UPL,592.5,590.0,21.0,15.05,36.05,6.1101694
VEDL,155.5,155.0,6.4,5.55,11.950001,7.709678
VOLTAS,656.0,660.0,17.85,20.05,37.9,5.7424245
WIPRO,252.7,252.5,7.7,7.3,15.0,5.940594
YESBANK,45.65,45.0,3.95,5.1,9.05,20.11111
ZEEL,266.7,270.0,14.3,16.55,30.849998,11.425925
